ID;Name;Latitude;Longitude;TransportType;adresse;compl_adresse;code_postale
835;Denfert-Rochereau-Métro-RER;48.8330337;2.3330873;bus;Avenue René Coty;Quartier du Petit-Montrouge;75014
836;Dareau - René Coty;48.8305187;2.3340243;bus;Avenue René Coty;Quartier du Petit-Montrouge;75014
837;Alésia - René Coty;48.8271544;2.3348724;bus;Rue des Artistes;Quartier du Parc-de-Montsouris;75014
838;Théâtre;48.849216;2.2878347;bus;Place Saint-Charles;Quartier de Grenelle;75015
839;Convention - Saint-Charles;48.8437077;2.2823508;bus;Rue de la Convention;Quartier de Javel;75015
840;Charles Michels;48.8470238;2.285972;bus;Rue Saint-Charles;Quartier de Grenelle;75015
841;Théâtre;48.847953;2.2899408;bus;Rue de Lourmel;Quartier de Grenelle;75015
842;Hôpital Européen Georges Pompidou;48.8397941;2.2724649;bus;Rue Leblanc;Quartier de Javel;75015
843;Convention - Saint-Charles;48.843577;2.2823071;bus;Rue de la Convention;Quartier de Javel;75015
844;Balard - Lecourbe;48.8363687;2.2809864;bus;Rue Leblanc;Quartier de Javel;75015
845;Rue Leblanc;48.8394893;2.2745593;bus;Quartier de Javel;Paris 15e Arrondissement;75015
846;Rue Rouelle;48.8494635;2.2912491;bus;Rue de Lourmel;Quartier de Grenelle;75015
847;Convention - Saint-Charles;48.843581;2.2829442;bus;Rue Saint-Charles;Quartier de Javel;75015
848;Place Balard;48.8373003;2.2774973;bus;Rue Saint-Charles;Quartier de Javel;75015
849;Abbé Groult;48.8407269;2.2962412;bus;Rue Lecourbe;Quartier Saint-Lambert;75015
850;Rue Leblanc;48.8393553;2.2752743;bus;Quartier de Javel;Paris 15e Arrondissement;75015
851;Duranton;48.8384288;2.2886314;bus;Rue Lecourbe;Quartier de Javel;75015
852;Hôpital Européen Georges Pompidou;48.8399961;2.2723063;bus;Rue Leblanc;Quartier de Javel;75015
853;Leblanc - Delbarre;48.8380437;2.2754441;bus;Rue Leblanc;Quartier de Javel;75015
854;Charles Michels;48.845437;2.2877277;bus;Rue de Lourmel;Quartier de Javel;75015
855;Convention - Lecourbe;48.8391552;2.2912931;bus;Rue Lecourbe;Quartier Saint-Lambert;75015
856;Place Balard;48.8370067;2.2780746;bus;Rue Leblanc;Quartier de Javel;75015
857;Vaugirard - Croix-Nivert;48.8342698;2.2909012;bus;Rue de Vaugirard;Quartier Saint-Lambert;75015
858;Hameau;48.8358098;2.2893082;bus;Rue Desnouettes;Quartier Saint-Lambert;75015
859;Desnouettes - Vasco de Gama;48.8355213;2.2861616;bus;Rue Desnouettes;Quartier Saint-Lambert;75015
860;Abbé Groult;48.8385608;2.2990864;bus;Rue de Vaugirard;Quartier Saint-Lambert;75015
861;Desnouettes;48.8346549;2.284423;bus;Rue Desnouettes;Quartier Saint-Lambert;75015
862;Sèvres - Lecourbe;48.8449077;2.311377;bus;Place Henri-Queuille;Quartier Necker;75015
863;Hôpital de Vaugirard;48.8355714;2.2930685;bus;Rue de Vaugirard;Quartier Saint-Lambert;75015
864;Jasmin;48.852123;2.2680539;bus;Avenue Mozart;Quartier d'Auteuil;75016
