latitude,longitude,dep,arret metro,nomcom,code postal,lieux à visiter,description
48.8786328114, 2.28316017256,75,"2, PLACE DE LA PORTE MAILLOT, 75853 PARIS CEDEX 17",PARIS,75117,Palais des congrès de Paris,Centre de congrès et parc d'exposition
48.4176620288, 3.23753638596,77,,BRAY-SUR-SEINE,77051,Port public de Bray,"Haltes, escales ou ports fluviaux de plaisance"
48.8095796746, 2.39001807161,94,25 RUE RASPAIL,IVRY-SUR-SEINE,94041,Centre d’art contemporain d’ivry - le crédac,Diffusion de l'art (autre que musée)
48.8609098712, 2.34254698342,75,52 RUE DE L'ARBRE SEC,Paris,75101,Musée de la presse,Musée et écomusée
48.8628118268, 2.3428436029,75,2 RUE DE VIARMES,Paris,75101,Bourse du commerce,Site et monument
48.8642436252, 2.34800850397,75,20 RUE ETIENNE MARCEL,Paris,75102,Tour Jean-sans-Peur,Site et monument
48.8582507208, 2.36237351322,75,11 RUE PAYENNE - HÔTEL DE MARLE,Paris,75103,Institut Tessin - centre culturel suédois,Musée et écomusée
48.8529615431, 2.34991335251,75,6 PLACE DU PARVIS ND,Paris,75104,Cathédrale ND de Paris,Site et monument
48.8513007701, 2.35561764556,75,6 QUAI D'ORLÉANS - BIBLIOTHÈQUE POLONAISE DE Paris,Paris,75104,Musée Adam Mickiewicz,Musée et écomusée
48.8405579045, 2.34190673523,75,277 BIS RUE Saint-JACQUES - 1 PLACE LAVERAN,Paris,75105,Eglise royale du Val-de-Grace,Site et monument
48.8495195064, 2.34837580341,75,1 BIS RUE DES CARMES,Paris,75105,Musée des collections historiques de la préfecture de police,Musée et écomusée
48.8421414685, 2.35622333923,75,57 RUE CUVIER - JARDIN DES PLANTES,Paris,75105,Muséum national d'histoire naturelle -  grande galerie de l'evolution,Musée et écomusée
48.8513652871, 2.34099615747,75,12 RUE DE L'ECOLE DE MÉDECINE - UNIVERSITÉ RENÉ DESCARTES,Paris,75106,Musée d'histoire de la médecine,Musée et écomusée
48.8485831711, 2.33401005218,75,19 RUE DE VAUGIRARD - JARDIN DU LUXEMBOURG,Paris,75106,Musée du Luxembourg,Musée et écomusée
48.8596707984, 2.30518204263,75,92 RUE Saint-DOMINIQUE,Paris,75107,Eglise Saint-Pierre du-Gros-Caillou,Site et monument
48.8564273285, 2.32763375675,75,PLACE Saint-THOMAS-D'AQUIN,Paris,75107,Eglise Saint-Thomas d'Aquin,Site et monument
48.8622495811, 2.28182973736,75,1 place du Trocadéro,Paris 16ÈME,0,Théâtre national de Chaillot,Diffusion du spectacle vivant
48.8382567878, 2.49397219297,94,Place du théâtre,NOGENT-SUR-MARNE,0,La scène Watteau,Diffusion du spectacle vivant
48.8736689226, 2.2954977352,75,PLACE CHARLES DE GAULLE,Paris,75108,Arc de triomphe,Site et monument
48.8352668726, 2.40938873075,75,293 AVENUE DAUMESNIL - PALAIS DE LA PORTE DORÉE,Paris,75112,Cité nationale de l'histoire de l'immigration,Musée et écomusée
48.8285560441, 2.41495275803,75,40 BIS ROUTE CEINTURE DU LAC DAUMESNIL,Paris,75112,Temple Bouddhique - institut international Bouddhique,Site et monument
48.8350145227, 2.35087292044,75,12 RUE BERBIER DU METZ,Paris,75113,Château de la Reine Blanche,Site et monument
48.8400498633, 2.37034865574,75,30 QUAI D'AUSTRERLITZ,Paris,75113,Docks en seine : cité de la mode et du design,Musée et écomusée
48.8392463991, 2.32983988488,75,3 BOULEVARD EDGAR QUINET,Paris,75114,Cimetière du Montparnasse,Site et monument
48.841390033, 2.31730919801,75,34 BOULEVARD DE VAUGIRARD,Paris,75115,Musée de la poste,Musée et écomusée
48.8894935017, 2.25218558147,75,BOIS DE BOULOGNE - PARC DE BAGATELLE,Paris,75116,Château de Bagatelle,Site et monument
48.8389420858, 2.25651757879,75,98 BOULEVARD MURAT - 96 BOULEVARD MURAT,Paris,75116,Eglise Sainte-Jeanne de Chantal,Site et monument
48.8706262934, 2.27706132569,75,16 RUE DE LA FAISANDERIE,Paris,75116,Musée de la contrefaçon,Musée et écomusée
48.8527210823, 2.27951608688,75,116 AVENUE DU PRÉSIDENT KENNEDY,Paris,75116,Musée de radio-France,Musée et écomusée
48.865065778, 2.29349832387,75,6 PLACE D'IÉNA,Paris,75116,Musée national des arts asiatiques Guimet,Musée et écomusée
48.8679666007, 2.29825112399,75,28 RUE DE CHAILLOT,Paris,75116,Paroisse Saint-Pierre de Chaillot,Site et monument
48.9268040204, 3.13116631606,77,6 RUE MONTMORIN,JOUARRE,77238,Abbaye de Jouarre - tour romane,Site et monument
48.6838121455, 1.93584557298,78,DOMAINE DES VAUX-DE-CERNAY,CERNAY-LA-VILLE,78128,Abbaye des Vaux de Cernay,Site et monument
48.7761514935, 1.80538405071,78,5 RUE MAURICE RAVEL,MONTFORT-L'AMAURY,78420,Maison-musée Maurice Ravel,Musée et écomusée
